"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"845","Danney Williams. 30, has been trying since at least 1999 to be acknowledged
as the out-of-wedlock son of former President Bill Clinton and a black
prostitute in Little Rock, Arkansas.
Subscribe to our channel
https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg
Follow my Facebook: https-//www.facebook.com/WilliamsandKalvin
Follow me on Instagram: https://www.instagram.com/williams.and.kalvin
Follow me on Twitter: https://twitter.com/Williams8kalvin","https://www.facebook.com/WilliamsKalvin-788980617892144/","United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history or Malcolm X","N/A","18 - 50","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","None","12/01/16 03:23:56 AM PST","10/19/16 02:55:24 AM PDT"
"1086","Look at these gorgeous queens in all shades.","https://www.facebook.com/Blacktivist-128371547505950/","United States
Interests: Pan-Africanism, African-American Civil Rights Movement
(1954-68), African-American history or Black (Color)","N/A","16 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","152,716","19,558","500.00 RUB","11/03/16 08:11:21 AM PDT","11/10/16 07:11:21 AM PST"
"3002","Hallelujah! Ministering and uniting all Black congregations Worldwide. Join
our non denominational group!","https://www.facebook.com/Black_liberation_church-1160193507389202/","United States","Exclude people who like Black—Baptist—church","18 - 65+","English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Martin Luther King, Jr., Pentecostalism, Roman
Catholic devotions, Baptism, Presbyterianism or Gospel","N/A","7","0","13.46 RUB","10/18/16 04:50:58 AM PDT","N/A"
"1104","Don't be scared to rock your natural hair. Life is short and you only live once
on this earth.","https://www.facebook.com/Blacktivist-128371547505950/","United States
Interests: Pan-Africanism, African-American Civil Rights Movement
(1954-68), African-American history or Black (Color)","N/A","16 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","11,217","1,991","400.00 RUB","10/18/16 06:43:09 AM PDT","10/19/16 06:43:07 AM PDT"
"2269","November 22 will mark the second anniversary of the Tamir Rice's death. The
12-year-old was carrying a toy airsoft gun when officer Timothy Loehmann
shot him within two seconds of arriving on the scene. A grand jury decided not
indict the killer.
Tamir's mother said she is ""mad as hell"" with the grand jury's decision of
declaring the officer not guilty. She went on to say. ""He was my bright and
shining star. He was full of light and laughter. Tamir had the potential to
become anything in the World, but Officer Loehmann and Garmback didn't
give him a chance"".
Due to the corrupt system, Samaria Rice has a dead child.
However: he will always live in our hearts. Join us on November 26 to honor
the memory of Tamir and show support to his family. Remember Tamir Rice","https://www.facebook.com/events/267467333650934/","- Living In: United States: New York (+25 mi) New York","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black Power. Racial equality, Social justice,
Black Panther Party or Cop Block","N/A","0","0","None","11/01/16 03:03:07 AM PDT","11/26/16 12:00:00 AM PST"
"2266","November 22 will mark the second anniversary of the Tamir Rice's death. The
12-year-old was carrying a toy airsoft gun when officer Timothy Loehmann
shot him within two seconds of arriving on the scene. A grand jury decided not
indict the killer.
Tamir's mother said she is ""mad as hell"" with the grand jury's decision of
declaring the officer not guilty. She went on to say,""He was my bright and
shining star. He was full of light and laughter. Tamir had the potential to
become anything in the World, but Officer Loehmann and Garmback didn't
give him a chance"".
Due to the corrupt system, Samaria Rice has a dead child.
However; he will always live in our hearts. Join us on November 26 to honor
the memory of Tamir and show support to his family. Remember Tamir Rice","https://www.facebook.com/events/267467333650934/","- Living In: United States","N/A","16 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black Power, Black Panther Party or Cop Block","N/A","0","0","None","10/26/16 06:09:38 AM PDT","11/26/16 12:00:00 AM PST"
"2268","November 22 will mark the second anniversary of the Tamir Rice's death. The
12-year-old was carrying a toy airsoft gun when officer Timothy Loehmann
shot him within two seconds of arriving on the scene. A grand jury decided not
indict the killer.
Tamir's mother said she is ""mad as hell"" with the grand jury's decision of
declaring the officer not guilty. She went on to say. ""He was my bright and
shining star. He was full of light and laughter. Tamir had the potential to
become anything in the World, but Officer Loehmann and Garmback didn't
give him a chance"".
Due to the corrupt system, Samaria Rice has a dead child.
However: he will always live in our hearts. Join us on November 26 to honor
the memory of Tamir and show support to his family. Remember Tamir Rice","https://www.facebook.com/events/267467333650934/","- Living In: United States: Minneapolis (+25 mi) Minnesota","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black Power. Racial equality, Social justice,
Black Panther Party or Cop Block","N/A","3,450","247","1.500.00 RUB","10/26/16 06:09:38 AM PDT","11/26/16 12:00:00 AM PST"
"3003","Hallelujah! Ministering and uniting all Black congregations Worldwide. Join
our non denominational group!","https://www.facebook.com/Black_liberation_church-1160193507389202/","United States","Exclude people who like Black—Baptist—church","18 - 65+","English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Martin Luther King, Jr., Roman Catholic
devotions, Baptism or Gospel
And Must Also Match: Interests: Pentecostalism or Presbyterianism","N/A","577","29","1,060.31 RUB","10/18/16 06:04:47 AM PDT","N/A"
"1089","COLIN KAEPERNICK DONATED TO BLACK YOUTH PROJECT 100
Of course, many of you will scoff at comparing 49ers quarterback Colin
Kaepernick to Martin Luther King Jr., who also demanded better from America
in 1966. But after all, Kaepernick is a great athlete who not just sat out the
national anthem in protest, but also gave back to the community by donating
to the Black Youth Project 100.
Kaepernick donated to the Chicago chapter of the organization toward
""Chapter-specific ideas and endeavors centered on advancing Agenda to
Build Black Futures"" which is dedicated to creating justice and freedom for all
Black people in order to improve the lives of black people in the United States
of America.
""I'll continue to look at other communities in Chicago, as well, as far as what
are ways I can help and what are ways I can try to help empower those
communities,"" he said.
When someone strives to uplift the negativity surrounding black people, there
is always someone who will distort the positivity. But we don't really care
about haters.
Good job, Colin.","https://www.facebook.com/blacktivists/","United States","N/A","da to
Build Black Futures"" which is dedicated to creating justice and freedom for all
Black people in order to improve the lives of black people in the United States
of America.
""I'll continue to look at other communities in Chicago, as well, as far as what
are ways I can help and what are ways I can try to help empower those
communities,"" he said.
When someone strives to uplift the negativity surrounding black people, there
is always someone who will distort the positivity. But we don't really care
about haters.
Good job, Colin.
Ad Landing Page https://www.facebook.com/blacktivists/
Ad Targeting Location: United States
Age: 16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Pan-Africanism, African-American Civil Rights
Movement (1954-68), African-American history or Black (Color)","N/A","16,093","2,102","400.00 RUB","12/07/16 07:17:08 AM PST","12/08/16 07:17:08 AM PST"
"3117","I stopped watching tv for new, cus i can't take all this bs. i see my people do!
I wana put this out straight, once and for all!
We all say it's a whiteman's world in the U.S. with white-favouring-rules and
everything, right?
So what makes you want to be a part of this system. in other terms, be a
slave to this system?
Why in the heck would you all be routing and rioting and fighting over and for
a two-party government system that cares less about you?
Damn; we all agreed with Kaepernick when he took the knee for us all, and
now we all, outta fear join white democrats to riot Trump?
Like wtf happened to we rising above the government system to improve our
lives and not joining this whole racist bias system?
Damn, that's sad:
#wakeup #organize 44joshuabeal #altonsterling #TerenceCrutcher
#westandtogether #blacklivesmatter #unite4justice #november8
#elections2016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackandproud #democrat #republican
#Africanamerican #unite4justice #vote #breakingnews","https://www.facebook.com/Woke-Blacks-294234600956431/","- Living In: United States
Interests: Martin Luther King; Jr., African-American Civil Rights Movement
(1954-68), African-American history or Malcolm X","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","423","81","22.17 RUB","11/15/16 04:56:29 AM PST","11/16/16 04:56:29 AM PST"
